STORE_ID,LATITUDE,LONGITUDE,DAYS_OPEN,ITEM_AVAILABILITY,ZONE,BOOKMARKS
11426,33.990183,-118.447839,7.0,562.0,LOS ANGELES,
5129,38.6975543,-121.0029693,7.0,50.0,SACRAMNTO-STKTON-MODESTO,
719,43.1476782,-77.5774792,7.0,60.0,"ROCHESTER, NY",
6379,33.943229,-118.2050805,7.0,161.0,LOS ANGELES,
722,42.317493,-71.0654229,7.0,214.0,BOSTON (MANCHESTER),
11676,33.889918,-118.116621,7.0,215.0,LOS ANGELES,
13873,31.68210803,-106.1872037,7.0,127.0,EL PASO (LAS CRUCES),
11807,34.07302114,-118.0245816,7.0,56.0,LOS ANGELES,
6433,33.9868204,-117.3733009,7.0,52.0,LOS ANGELES,
6560,37.6834458,-121.0494073,7.0,106.0,SACRAMNTO-STKTON-MODESTO,
7039,34.4038722,-118.5505245,7.0,635.0,LOS ANGELES,
4245,32.7931619,-79.8562388,7.0,151.0,"CHARLESTON, SC",
369,38.6364394,-121.4987249,7.0,22257.0,SACRAMNTO-STKTON-MODESTO,
6710,37.0381364,-119.5170244,7.0,2.0,FRESNO-VISALIA,
74,42.2760893,-71.8005772,5.0,5684.0,BOSTON (MANCHESTER),
1034,43.5622044,-71.4479942,7.0,20.0,BOSTON (MANCHESTER),
6807,33.8943416,-118.3530433,7.0,86.0,LOS ANGELES,
6916,38.9120388,-120.0026411,7.0,54.0,SACRAMNTO-STKTON-MODESTO,
794,41.4016454,-75.6873977,7.0,42.0,WILKES BARRE-SCRANTON,
5786,33.4668008,-111.6830739,7.0,21.0,PHOENIX (PRESCOTT),
12146,34.18738252,-118.5531187,7.0,190.0,LOS ANGELES,
2812,27.4716423,-80.3356017,7.0,26.0,WEST PALM BEACH-FT. PIERCE,
611,42.0254248,-71.4906925,7.0,425.0,BOSTON (MANCHESTER),
14158,43.10622573,-72.42910507,7.0,1.0,BOSTON (MANCHESTER),
14461,26.34889717,-80.23088957,7.0,170.0,WEST PALM BEACH-FT. PIERCE,
6907,34.459376,-118.5350193,7.0,118.0,LOS ANGELES,
4439,33.3651168,-111.6197573,7.0,79.0,PHOENIX (PRESCOTT),
14017,38.41993806,-81.79065472,7.0,27.0,CHARLESTON-HUNTINGTON,
8863,33.40760941,-111.7704378,7.0,9625.0,PHOENIX (PRESCOTT),
6669,33.6399673,-111.9874144,7.0,155.0,PHOENIX (PRESCOTT),
13292,33.84683956,-118.0291162,7.0,80.0,LOS ANGELES,
8727,33.49296091,-112.2909149,7.0,,PHOENIX (PRESCOTT),
6421,33.4585538,-117.6519251,7.0,56.0,LOS ANGELES,
433,42.3497447,-71.2260743,7.0,19.0,BOSTON (MANCHESTER),
12158,26.88210183,-80.10968559,7.0,136.0,WEST PALM BEACH-FT. PIERCE,
8531,33.47954959,-111.9604967,7.0,105.0,PHOENIX (PRESCOTT),
8958,33.37871927,-111.681467,7.0,84.0,PHOENIX (PRESCOTT),
2660,26.1083197,-81.7500723,7.0,33.0,FT. MYERS-NAPLES,
7040,34.2802059,-118.7193449,7.0,138.0,LOS ANGELES,
11758,33.8588939,-112.1116261,7.0,88.0,PHOENIX (PRESCOTT),
12310,33.67725355,-111.9786778,7.0,63.0,PHOENIX (PRESCOTT),
10672,26.29416761,-81.80138136,7.0,38.0,FT. MYERS-NAPLES,
7586,36.0533005,-90.505683,7.0,65.0,JONESBORO,
9568,26.71095109,-80.09559669,7.0,150.0,WEST PALM BEACH-FT. PIERCE,
7077,33.5100915,-117.125648,7.0,116.0,LOS ANGELES,
4222,27.6904666,-80.4118912,7.0,45.0,WEST PALM BEACH-FT. PIERCE,
1068,42.0907816,-71.6422231,7.0,24.0,BOSTON (MANCHESTER),
508,42.2385342,-71.8443918,7.0,40.0,BOSTON (MANCHESTER),
12763,33.92055042,-118.3968625,7.0,647.0,LOS ANGELES,
1523,41.1532137,-76.1497968,7.0,56.0,WILKES BARRE-SCRANTON,
10246,26.35044662,-80.2023721,7.0,170.0,WEST PALM BEACH-FT. PIERCE,
1316,42.3114805,-71.1140038,7.0,164.0,BOSTON (MANCHESTER),
10432,42.13473961,-71.10241137,7.0,87.0,BOSTON (MANCHESTER),
12009,41.5864834,-93.6645394,7.0,30.0,DES MOINES-AMES,
8377,42.25374682,-71.02793168,7.0,226.0,BOSTON (MANCHESTER),
10029,33.94224271,-117.2271205,7.0,112.0,LOS ANGELES,
5827,42.9764458,-71.4785885,7.0,79.0,BOSTON (MANCHESTER),
10372,26.46961899,-80.14643439,7.0,46.0,WEST PALM BEACH-FT. PIERCE,
14820,42.22509172,-71.22307092,7.0,174.0,BOSTON (MANCHESTER),
4542,39.518022,-80.321888,7.0,26.0,CLARKSBURG-WESTON,
10132,41.60096029,-93.60124347,7.0,39.0,DES MOINES-AMES,
